rank,handle,name,platform,already_in_db,tweets_fetched,prefilter_survivors,raw_predictions,xnative_survivors,youtube_survivors,yield_net,tweets_per_week,est_predictions_per_week,crypto_share,span_days,oldest,newest
73,EMoneyYouTube,Everything Money,youtube,no,40,15,0,0,0,0.0,5.3,0.0,0.0,53,2026-04-16,2026-06-09
74,RealStockMoe,Stock Moe,youtube,no,40,4,0,0,0,0.0,0.3,0.0,0.0,1113,2023-03-01,2026-03-19
75,DividendTalks,Dividend Talks,youtube,no,40,22,0,0,0,0.0,15.6,0.0,0.0,18,2026-05-20,2026-06-08
76,iamtomnash,Tom Nash,youtube,no,40,3,0,0,0,0.0,12.7,0.0,0.0,22,2026-05-13,2026-06-05
77,QualityInvest5,The Quality Investor,youtube,no,1,0,0,0,0,0.0,,,0.0,,,
78,SvenCarlin,Sven Carlin,youtube,no,40,5,0,0,0,0.0,0.2,0.0,0.0,1424,2021-04-18,2025-03-12
79,BrianFeroldi,BWB - Business With Brian,youtube,no,40,0,0,0,0,0.0,93.3,0.0,0.0,3,2026-06-06,2026-06-09
80,minoritym1ndset,Minority Mindset,youtube,no,40,15,0,0,0,0.0,280.0,0.0,0.0,1,2026-04-02,2026-04-03
81,InvestorVideos_,The Investor Channel,youtube,no,40,21,0,0,0,0.0,,,0.0,0,2022-09-20,2022-09-20
82,TradeBrigadeCo,Trade Brigade,youtube,no,40,3,0,0,0,0.0,35.0,0.0,0.0,8,2026-06-01,2026-06-09
83,ramincharles,PensionCraft,youtube,no,40,1,0,0,0,0.0,0.2,0.0,0.0,1793,2020-07-16,2025-06-13
84,heresyfinancial,Heresy Financial,youtube,no,40,6,0,0,0,0.0,10.8,0.0,0.0,26,2026-05-13,2026-06-09
85,alphatrends,Brian Shannon AlphaTrends,youtube,no,40,7,0,0,0,0.0,21.5,0.0,0.0,13,2026-05-27,2026-06-09
86,RichardMoglen,Richard Moglen,youtube,no,40,2,0,0,0,0.0,35.0,0.0,0.0,8,2026-06-01,2026-06-09
87,adamkhootrader,Adam Khoo,youtube,no,40,16,0,0,0,0.0,9.3,0.0,0.0,30,2026-05-08,2026-06-07
88,andreijikh,Andrei Jikh,youtube,no,40,1,0,0,0,0.0,0.7,0.0,0.0,380,2025-05-22,2026-06-06
89,proactive_x,Proactive Investors,youtube,no,40,2,0,0,0,0.0,,,0.0,0,2026-06-09,2026-06-09
90,ianlopuch,PPCIAN,youtube,no,40,23,0,0,0,0.0,15.6,0.0,0.0,18,2026-05-21,2026-06-09
91,traderTVLIVE,TraderTV Live,youtube,no,40,7,0,0,0,0.0,12.7,0.0,0.0,22,2026-05-18,2026-06-09
92,WhiteBoardFin,Marko WhiteBoard Finance,youtube,no,1,0,0,0,0,0.0,,,0.0,,,
93,GrahamStephan,Graham Stephan,youtube,no,40,13,0,0,0,0.0,2.6,0.0,0.0,108,2026-02-12,2026-06-01
94,cooperacademy1,Cooper Academy,youtube,no,40,8,0,0,0,0.0,3.9,0.0,0.0,71,2026-03-24,2026-06-04
95,hamish_hodder,Hamish Hodder,youtube,no,40,8,0,0,0,0.0,0.3,0.0,0.0,926,2023-11-22,2026-06-05
96,1MarkMoss,Mark Moss,youtube,no,40,8,0,0,0,0.0,4.6,0.0,0.0,61,2026-04-08,2026-06-08
97,wallstreetmil,Wall Street Millennial,youtube,no,40,0,0,0,0,0.0,1.0,0.0,0.0,278,2025-08-10,2026-05-15
98,simplywallst,Simply Wall St,youtube,no,40,8,0,0,0,0.0,1.3,0.0,0.0,217,2025-06-12,2026-01-16
99,NickPeitsch,Nick Peitsch Investing,youtube,no,40,2,0,0,0,0.0,4.1,0.0,0.0,68,2026-04-02,2026-06-09
100,PeterLazaroff,The Long-Term Investor,youtube,no,40,2,0,0,0,0.0,0.6,0.0,0.0,502,2024-08-30,2026-01-15
101,RamseyShow,The Ramsey Show Highlights,youtube,no,40,1,0,0,0,0.0,5.0,0.0,0.0,56,2025-12-09,2026-02-03
102,invest_answers,InvestAnswers,youtube,no,1,0,0,0,0,0.0,,,0.0,,,
103,MoneyShow,MoneyShow,youtube,no,40,4,0,0,0,0.0,70.0,0.0,0.0,4,2026-06-05,2026-06-09
104,sierrastrades,Alex Thompson,x,yes,40,8,0,0,0,0.0,46.7,0.0,0.0,6,2026-06-03,2026-06-09
105,tastyliveshow,tastylive,youtube,no,40,12,0,0,0,0.0,70.0,0.0,0.0,4,2026-06-05,2026-06-09
106,pranjalkamra,Pranjal Kamra,youtube,no,40,10,0,0,0,0.0,1.7,0.0,0.0,161,2025-12-26,2026-06-05
107,GenExDividend,GenExDividendInvestor,youtube,no,40,34,0,0,0,0.0,4.5,0.0,0.0,62,2026-04-08,2026-06-09
108,cstewartcfa,Rational Investing with Cameron Stewart,youtube,no,40,4,0,0,0,0.0,1.5,0.0,0.0,183,2025-09-16,2026-03-19
